,movieName,movieYear,songName,songSinger,songMusic,songLyricist,songLyrics
299,Dedh Ishqiya ,2014,Jagaave Saari Raina,Rekha Bhardwaj,Vishal Bhardwaj,Gulzar,"Ni sa ni sa ni sa
Ni sa ni sa ni sa
Ni sa ni sa ni sa
Ni sa ni sa ni sa
Sa ga ma ga
Ni sa ni sa pa ni sa
Sa ga ma ga
Ni sa ni sa pa ni sa
Sa ga sa pa
Ni sa ni sa pa ni sa
Sa ga sa pa dha re
Ni sa pa ni sa
Sa ga ma ga
Ni sa ni sa pa ni sa
Sa ga ma ga
Ni sa ni sa ni sa

Jagaave saari raina
Jagaave saari raina
Jagaave saari raina
Nigode do naina..
Nigode naina churaaye chaina

Jagaave saari raina
Ho.. jagaave.. jagaave..
Jagaave saari raina..
Nigode do.. naina...
Jagaave saari raina
Jagaave saari raina

Kaanon mein juhi ke jhumke lag ke
Kaanon mein juhi ke jhumke lag ke
Baahon mein motiyaan
Baahon mein motiyaan pehne sajai ke
Motiyaan sajai ke
Sajnaa kaa ke liye
Sajnaa kaa ke liye re sajnaa
Jagaave saari raina

[ AALAP ]

Hmm.. hmm....

Ga ke talaiya mein tara gira re
Hamka bulaaye hai woh, aisa laga re
Dekh lo baahar darwajja ko baja hai
Phir bhi oo ke aane ka dhadka sa laga re
Jute naag...
Jute naag hawaaon ke baina

Jagaave saari raina
Jagaave saari raina
Nigode do naina..
Nigode naina churaaye chaina
Jagaave.. jagaave.. jagaave saari raina..
"
300,Dedh Ishqiya ,2014,Zabaan Jale Hai,Rahat Fateh Ali Khan,Vishal Bhardwaj,Gulzar,"Na bolu main to kaleja phooke - 2
Jo bol du to Zabaan jale hai
Sulag na jaaye agar suney wo
Sulag na jaaye agar suney wo
Jo baat meri zubaan tale hai
Na bolu main to kaleja phooke
Jo bol du to zabaan jale hai

Lage to phir yoon ke rog laage
Naa saans aawe, naa saan jaawe
Lage to phir yoon ke rog laage
Naa saans aawe, naa saan jaawe
Ye ishk hai na-murad aisaa
Ye ishk hai na-murad aisaa
Ke jaan leve tabhi tale hai

Hamari halat pe kitta rowey hai
Aasman bhi tu dekh lijo
Hamari halat pe kitta rowey hai
Aasman bhi tu dekh lijo
Ke surkh ho jayein uski ankhein
Ke surkh ho jayein uski ankhein
Bhi jaise jaise ye din dhale hai
Na bolu main to kaleja phooke
Jo bol du to zabaan jale hai
"
301,Dedh Ishqiya ,2014,Dil Ka Mizaaj Ishqiya,Rahat Fateh Ali Khan,Vishal Bhardwaj,Gulzar,"Ruk ruk ke kehte hain
Jhuk jhuk ke rehte hain

Ruk ruk ke kehte hain
Jhuk jhuk ke rehte hain
Dil ka mizaaj ishqiya
Dil ka mizaj ishqiya

Tanha hai logon mein
Logon mein tanhaayi
Dil ka mizaaj ishqiya
Dil ka mizaj ishqiya

Chotein bhi khaayein
Aur gungunaayein
Aisa hi tha yeh
Aisa hi hai yeh
Masti mein rehta hai
Mastana saudaai
Dil ka mizaaj ishqiya
Arre dil ka mizaj ishqiya

Sharmeela sharmeela
Parde mein rehta hai...
Dardon ke chhonke bhi
Chupke se sehta hai
Nikalta nahi hai
Gali se kabhi
Nikal jaaye to dil
Bhatak jata hai
Arre bachcha hai aakhir
Behak jata hai...
Khwaabon mein rehta hai
Bachpan se harjaayi
Dil ka mizaaj ishqiya
Dil ka mizaj ishqiya... aa..

Gusse mein balkhana
Gairon se jal jana
Mushkil mein aaye to
Waadon se tal jana
Ulajhane ki isko yun aadat nahi
Magar bewafaai sharafat nahi
Yeh jazbaati hoke chhalak jata hai...

Ishq mein hoti hai
Thodi si garmaayi
Dil ka mizaaj ishqiya
Arre dil ka mizaaj ishqiya...

Ruk ruk ke ishqiya..
Jhuk jhuk ke ishqiya..

Ruk ruk ke kehte hain
[Kehte hain.. kehte hain..]
Jhuk jhuk ke rehte hain
[Rehte hain.. ishq.. ishq.. ishqiya....]
Ishqiya...
Ishqiya...
"
302,Dedh Ishqiya ,2014,Hamari Atariya Pe,Rekha Bhardwaj,Vishal Bhardwaj,Gulzar,"Hmm.. Hmm.. Hmm.. 
Hmm.. Hmm.. 

Saj ke sajaaye baithi
Sasan de bhulaaye baithi
Kahan ghum hua anjaana..

Kahe yeh deep jalaye re jalaye na
Darr lage aaya parwana

Kaun sa tann hai.. bharmaaye re...
Hamari atariya pe aaja re sanwariya
Dekha dekhi tanik hoi jaaye
Hamari atariya pe aaja re sanwariya
Dekha dekhi tanik hoi jaaye
Hamari atariya pe..

Kiwadiya se latke piya
Kare jhaanka jhaanki
Bohat kaudi phenke piya
Udaa de ja haanki

Haaye.. kiwadiya se latke piya
Kare jhaanka jhaanki
Bohat kaudi phenke piya
Udaa de ja haanki
Kasam deve jaan ki

Aaja gilauri khila doon kimaami
Laali pe laali tanik hoi jaaye
Aaja gilauri khila doon kimaami
Laali pe laali tanik hoi jaaye
Hamari atariya pe..

Padosan ke gharwa jaiho
Jaima na sakariya
Sautan sapoli mori
Kaate jahariya
Jehari najariya..

Aaja atariya pe pila doon angoori
Jora jori tanik hoi jaaye
Aaja atariya pe pila doon angoori
Jora jori tanik hoi jaaye..

Hamari atariya pe aaja re sanwariya
Dekha dekhi tanik hoi jaaye
Hamari atariya pe..

Saj ke sajaaye baithi
Sasan de bhulaaye baithi
Kahan ghum hua an.. jaa.. na..

Kaun sa tann hai.. bharmaaye re...
"
303,Dedh Ishqiya ,2014,Aapke Karaar Mein,,Vishal Bhardwaj,,"Lyrics of Aapke karaar mein and video: Here comes the much awaited and highly talked about mujra song Aapke Karaar Mein from Abhishek Chaubey's Dedh Ishqiya starring Arshad Warsi, Naseeruddin Shah, Madhuri Dixit and Kangna Ranaut. Aapke Qaraar Mein video is picturised on Madhuri Dixit. Aapke Karar Mein music is scored by composers Vishal Bhardwaj.
"
304,Deewana Main Deewana ,2013,Juda Na Honge Hum,"Udit Narayan, Sadhana Sargam",Anand Raj Anand,Anand Raj Anand,"Juda na honge hum
Aaja khaaye yeh qasam
Yeh qasam, yeh qasam x (2)

Maana ke musqkil ghadi hai
Diwaane ko dil ki padi hai
Chali aa, chali aa, chali aa
Tu baahon mein aa

Juda na honge hum
Aaja khaaye yeh qasam
Yeh qasam, yeh qasam
Maana ke musqkil ghadi hai
Muhobbat hi sab se badi hai
Teri hu, teri hu teri hi rahungi sada
Juda na honge hum
Aaja khaaye yeh qasam

Haan chaahat ke maare
Do dil diwaane
Ab door na honge 
Chaahe ban jaaye sau afsane
Tu hi bataa de kya tu yeh maane
Chaahat mein jeena marna
Jaane to bas tu hi jaane
Kya kah diya toone yara
Tujhsa nahi koyi pyara
Chali aa, chali aa, chali aa
Tu baahon mein aa
Juda na honge hum
Aaja khaaye yeh qasam

Aaja o baahon mein
Dil ki panaahon mein
Meri nigahon mein
Tumhi tum ho chipaun kaise
Chaahat ke mausam hain
Zulfon ke baadal hain
Dil mera paagal hai
Iss pagle ko samjhaun kaise
Tere liye maine jeena
Tere liye ab to marna
Teri hu, teri hu teri hi rahungi sada

Juda na honge hum
Aaja khaaye yeh qasam
Yeh qasam, yeh qasam x (2)
Maana ke musqkil ghadi hai
Diwaane ko dil ki padi hai
Chali aa, chali aa, chali aa
Tu baahon mein aa
"
305,Deewana Main Deewana ,2013,Ek Haseena Ek Deewana,"Udit Narayan, Anuradha Paudwal",Anand Raj Anand,Anand Raj Anand,"Chehra haseen, kya hai adaa
Teri adaa pe dil hai fida
Hamein dekh ke yaar zamana
Gayega bas yeh gana
Hamein dekh ke yaar zamana
Gayega bas yeh gana
Ek haseena ek deewana
Ek haseena ek deewana

Teri talash mein deewana ho gaya
Main apne aap se anjana ho gaya
Meri talash mein tum mujhmein kho gaye
Achchha hua jo tum yun paagal ho gaye
Jab aashiq ho mastana
Banta hai tabhi fasana
Jab aashiq ho mastana
Banta hai tabhi fasana
Ek haseena ek deewana
Ek haseena ek deewana

Chehra haseen, kya hai adaa
Teri adaa pe dil hai fida
Hamein dekh ke yaar zamana
Gayega bas yeh gana
Hamein dekh ke yaar zamana
Gayega bas yeh gana
Ek haseena ek deewana
Ek haseena ek deewana

Tumse yun milte hi yeh dil ghabrata hai
Phir bhi mohabbat mein maza kyun aata hai
Sidhi si baat hai jaaga armaan hai
Main bhi jawan hoon, tu bhi jawan hai
Main seekhun tujhe churana
Tum seekho mujhe churana
Main seekhun tujhe churana
Tum seekho mujhe churana
Ek haseena ek deewana
Ek haseena ek deewana

You are my love, I am your doll
Pyaar mein pagal hote hain sab
Hamein dekh ke yaar zamana
Gayega bas yeh gana
Humein dekh ke yaar zamana
Gayega bas yeh gana
Ek haseena ek deewana
Ek haseena ek deewana
Ek haseena ek deewana
"
306,Deewane ,2000,Ye Aankhen Ye Masti - Qayamat Qayamat,"Sukhwinder Singh, Alka Yagnik",Sanjeev Darshan,Sameer,"Yeh aankhein yeh masti..

Yeh aankhein yeh masti
Yeh palkein yeh kajal
Yeh zulfein yeh khushbu
Yeh choodi yeh payal
Qayamat qayamat qayamat qayamat
Qayamat qayamat qayamat qayamat

Yeh chehra yeh tevar
Yeh kaatil adaayein
Yeh premi yeh paagal
Yeh chahat yeh muhabbat
Qayamat qayamat qayamat qayamat
Qayamat qayamat qayamat qayamat

Yeh aankhein yeh masti
Yeh palkein, yeh palkein
Yeh palkein, yeh palkein
Yeh kajal, yeh kajal
Yeh kajal, yeh kajal

Aashiq hai kaun woh tum aashiqui ho jiski?
Shayar hai kaun woh tum shayari ho jiski?
Huye tum deewane yoon hi to nahin
Chala koi jaadu kahin na kahin
Kahin na kahin
Haan kahin na kahin, kahin na kahin
Yeh jaadu, yeh jaadu, yeh jaadu
Yeh rangat, yeh rangat
Yeh jalwa, yeh jalwa
Yeh jalwa, yeh jawani

Dilbar mere sanam, mehboob mere yaara
Badla hai aaj kyun andaaz yeh tumhara?
Karoon kya koi zor chalta nahin
Sambhaale se bhi dil sambhalta nahin
Sambhalta nahin 
Haan sambhalta nahin, sambhalta nahin
Yeh maujein la la la la la la
Yeh saagar la la la la la la
Yeh havaaein, yeh mausam la la la la la la
Yeh mehfil, yeh nagma
Yeh shokhi, yeh aalam
Qayamat qayamat qayamat qayamat
Qayamat qayamat qayamat qayamat

Yeh aankhein, yeh aankhein
Yeh chehra, yeh chehra
Yeh masti, yeh masti
Yeh tevar, yeh tevar
Yeh palkein, yeh kajal
Yeh zulfein, yeh premi
Yeh khushbu, yeh paagal
Yeh choodi, yeh chahat
Yeh payal, yeh muhabbat
Qayamat qayamat qayamat qayamat
Qayamat qayamat qayamat qayamat
Haan.. qayamat qayamat qayamat qayamat
Haan.. qayamat qayamat qayamat qayamat
"
307,Deewar ,1975,Maine Tujhe Maanga Tujhe Paya Hai,"Asha Bhosle, Kishore Kumar",R. D. Burman,Sahir Ludhianvi,"Maine tujhe maanga tujhe paya hai
Toone mujhe maanga mujhe paya hai
Maine tujhe maanga tujhe paya hai
Toone mujhe maanga mujhe paya hai
Aage hamein jo bhi mile
Ya na mile gila nahin
Maine tujhe maanga tujhe paya hai
Toone mujhe maanga mujhe paya hai

Chhanv ghani hi nahin
Dhoop kadi bhi hoti hai raahon mein
Gham ho ki kushiyan hon
Sabhi ko hamein lena hai baahon mein
Ho dukhi hoke jeene waale
Kya yeh tujhe pata nahin
Maine tujhe maanga tujhe paya hai
Toone mujhe maanga mujhe paya hai

Ho aage hamein jo bhi mile
Ya na mile gila nahin
Maine tujhe maanga tujhe paya hai
Toone mujhe maanga mujhe paya hai

Zid hai tumhein to
Lo lab pe na shikwa kabhi bhi laayenge
Hans ke sahenge jo dard
Ya gham bhi jahan se paayenge
Tujhko jo bura lage aisa kabhi kiya nahin

O maine tujhe maanga tujhe paya hai
Toone mujhe maanga mujhe paya hai
Aage hamein, aage hamein
Jo bhi mile, jo bhi mile
Ya na mile, ya na mile
Gila nahin, gila nahin
Maine tujhe maanga tujhe paya hai
Toone mujhe maanga mujhe paya hai
Maine tujhe maanga tujhe paya hai
Toone mujhe maanga mujhe paya hai
"
308,Dehraadun Diary ,2013,Ho Ja Rubaru,Jafery Iqbal,,,"Raah mein dekhoon
Baahon mein dekhoon
Dekhoon tujhe dekhoon
Needon mein dekhoon
Khwaabon mein sochoon
Sochoon tujhe har su

Raah mein dekhoon
Baahon mein dekhoon
Dekhoon tujhe dekhoon
Needon mein dekhoon
Khwaabon mein sochoon
Sochoon tujhe har su

Jo dekhoon tujhe 
Ujli bhor main dekhoon
Jo dekhoon tujhe
Rab ki oar main dekhoon
Hai charon taraf tu hi tu
O dekhoon charon taraf tu hi tu

Ho ja rubaru rubaru
Ho ja rubaru rubaru
Ho ja rubaru rubaru
Ho ja rubaru rubaru
Ho ja rubaru rubaru
Ho ja rubaru rubaru
Ho ja rubaru rubaru
Ho ja rubaru rubaru

Khushbu banke tu kabhi 
Samaati hai mujh mein..
Sochta hoon kitna tujhe
Aisa kya hai tujh mein..
Khushbu banke tu kabhi 
Samaati hai mujh mein..
Sochta hoon kitna tujhe
Aisa kya hai tujh mein..

Kuchh aur nahi dekhoon
Kuchh aur nahi dekhoon
Kuchh aur nahi dekhoon
Jidhar dekhoon tu hi tu
Jo dekhoon tujhe
Ujli bhor main dekhoon
Jo dekhoon tujhe
Rab ki oar main dekhoon
Hai charon taraf tu hi tu
O dekhoon charon taraf tu hi tu

Raah mein dekhoon
Baahon mein dekhoon
Dekhoon tujhe dekhoon
Needon mein dekhoon
Khwaabon mein sochoon
Sochoon tujhe har su

Raah mein dekhoon
Baahon mein dekhoon
Dekhoon tujhe dekhoon
Needon mein dekhoon
Khwaabon mein sochoon
Sochoon tujhe har su

Jo dekhoon tujhe 
Ujli bhor main dekhoon
Jo dekhoon tujhe
Rab ki oar main dekhoon
Hai charon taraf tu hi tu
O dekhoon charon taraf tu hi tu

Ho ja rubaru rubaru
Ho ja rubaru rubaru
Ho ja rubaru rubaru
Ho ja rubaru rubaru
Ho ja rubaru rubaru
Ho ja rubaru rubaru
Ho ja rubaru rubaru
"
309,Dehraadun Diary ,2013,O Piya,Javed Ali,"Hanif Sheikh, Ripul Sharma","Hanif Sheikh, Harsh Tyagi","Piya, piya, piya, piya

Laage na, laage na mora jiya
Jaane kya moh pe jaadu kiya

Laage na, laage na mora jiya
Jaane kya moh pe jaadu kiya
Dar dar phirun ban ke jogan teri
Kaahe churaya mera jiya
O piya, o piya, o piya, o piya
O piya, o piya, o piya, piya, piya

Bairan huyi nindiya
Chamke na ab bindiya
Bairan huyi nindiya
Chamke na ab bindiya
Raah nihaarun main
Kaahe sataaye piya
Tadpa na, tadpa na mohe piya
Tadpa na, tadpa na mohe piya
Jaane kya moh pe jaadu kiya
Dar dar phirun ban ke jogan teri
Kaahe churaya mera jiya
O piya, o piya, o piya, o piya
O piya, o piya, o piya, piya, piya

Tann mann tujhe soanpa
Sudh-budh ganwai hai
Tann mann tujhe soanpa
Sudh-budh ganwai hai
Ab to piya bin tere
Bas jag hansai hai
Aaja na, aaja na ab to piya
Aaja na, aaja na ab to piya
Jaane kya moh pe jaadu kiya
Dar dar phirun ban ke jogan teri
Kaahe churaya mera jiya
O piya, o piya, o piya, o piya
O piya, o piya, o piya, piya, piya
"
310,Des Pardes ,1978,Aap Kahein Aur Hum Na Aayein,Lata Mangeshkar,Rajesh Roshan,Amit Khanna,"Aap kahein aur hum na aayein
Aise to halaat nahin aa
Manzil pe pahunchenge kaise
Aapka jab tak saath nahin aa
Aap kahein aur hum na aayein
Aise to halaat nahin aa

Chaahane waalon ki aaj duniya mein
Chaahane waale aa gaye
Ulfat ki may aankhon se lo
Aaj pilaane aa gaye
Aap piyein aur aap na jhoomein
Aapke bas ki baat nahi aa
Manzil pe pahunchenge kaise
Aapka jab tak saath nahin

Kasaa hua hai teer husn ka
Zara sambhal ke rahiyega
Nazar nazar ko maaregi
To kaatil hamein na kahiyega
Chaal chali hai soch ke humne
Is khel mein apni maat nahin

Paas aake yeh aapke
Hamein hone laga ehsaas hai
Dum hai to bas aapke dum se
Aap hi se saans hai
Bayaan karein jo haal-e-dil ko
Aise koi jazbaat nahin

Aap kahein aur hum na aayein
Aise to halaat nahin
Manzil pe pahunchenge kaise
Aapka jab tak saath nahin
"
311,Desh Premee ,1982,Nafrat Ki Laathi Todo - Mere Desh Premiyo,Mohammad Rafi,"Laxmikant, Pyarelal",Anand Bakshi,"Nafrat ki laathi todo
Lalach ka khanjar phenko
Zid ke peechhe mat daudo
Tum prem ke panchhi ho desh premiyo
Desh premiyo
Aapas mein prem karo desh premiyo
Mere desh premiyo
Aapas mein prem karo desh premiyo

Nafrat ki laathi todo
Lalach ka khanjar phenko
Zid ke peechhe mat daudo
Tum prem ke panchhi ho desh premiyo
Aapas mein prem karo desh premiyo
Mere desh premiyo
Aapas mein prem karo desh premiyo

Dekho yeh dharti hum sab ki mata hai
Socho aapas mein kya apna naata hai
Hum aapas mein lad baithe
To desh ko kaun sambhalega
Koi bahar wala apne ghar se hamein nikalega
Deewanon hosh karo
Mere desh premiyo
Aapas mein prem karo desh premiyo
Mere desh premiyo
Aapas mein prem karo desh premiyo

Meethe paani mein yeh zehar na tum gholo
Jab bhi kuchh bolo yeh soch ke tum bolo
Bhar jata hai gehra ghaav
Jo banata hai goli se
Par woh ghaav nahin bharta
Jo bana ho kadavi boli se
To meethe bol kaho
Mele desh plemiyo
Aapas mein plem kalo desh plemiyo
Mere desh premiyo
Aapas mein prem karo desh premiyo

Todo deevarein yeh chaar dishaon ki
Roko mat raahein in mast havaon ki
Poorab pachchim uttar dakkhin
Waalon mera matalab hai
Is maati se poochho kya bhasha
Kya iska mazhab hai
Phir mujhse baat karo
Mere desh premiyo
Aapas mein prem karo desh premiyo
Mere desh premiyo
Aapas mein prem karo desh premiyo
"
312,Desi Boyz ,2011,Allah Maaf Kare,"Sonu Nigam, Shilpa Rao",Pritam Chakraborty,Kumaar,"Tauba tauba tere pyar mein
Lut gaya ikraar mein

Tujhse mohabbat ho gayi Allah maaf kare
Tauba qayamat ho gayi Allah maaf kare x (2)

Dekha tujhe to saansein ruk gayin
Sajde mein yeh aankhein jhuk gayin
Teri ibadat ho gayi Allah maaf kare
Tujhse mohabbat ho gayi Allah maaf kare
Tauba qayamat ho gayi Allah maaf kare

Tauba tauba tere pyaar mein
Lut gaya ikraar mein

Yeh din jawani ke, dil ki kahani ke
Aise bitaata hoon main
Tere khayalon mein, apne sawaalon mein
Uljha sa jata hoon main
Yeh din jawani ke, dil ki kahani ke
Aise bitaata hoon main
Tere khayalon mein, apne sawaalon mein
Uljha sa jata hoon main

Ho ladte ladte aankhein lad gayin
Dil ki baatein aage badh gayin
Thodi shararat ho gayi Allah maaf kare
Meri to sudh-budh kho gayi Allah maaf kare
Tujhse mohabbat ho gayi Allah

Mana zamana yeh deta hai tana yeh
Thoda awaara hoon mein
Jo bhi hoon jaisa hoon, aisa ya waisa hoon
Ab to tumhara hoon main
Mana zamana yeh deta hai tana yeh
Thoda awaara hoon mein
Jo bhi hoon jaisa hoon, aisa ya waisa hoon
Ab to tumhara hoon main

Ho aate jaate dekhoon tujhko
Jaane hua hai yeh kya mujhko
Sabse baghawat ho gayi Allah maaf kare
Saari sharafat kho gayi Allah maaf kare
Tujhse mohabbat ho gayi Allah

Hey tujhse mohabbat ho gayi Allah maaf kare
Tauba qayamat ho gayi Allah maaf kare
Tauba tauba tere.. tu lut gaya x (2)
"
313,Desi Boyz ,2011,Let It Be,Shaan,Pritam Chakraborty,Amitabh Bhattacharya,"Let it be, let it be ab jaane de
Ro liya hai zara muskurane de
Itna to haq banta hai
Mujhe ik chance to de de zindagi
Ghaltiyon waali list mitane de
Story mein ek twist to aane de
Itna to haq banta hai
Mujhe ik chance to de de zindagi

Meri majbooriyon ki hai tujhko kasam
Tujhko kasam
Chhod bhi de yeh naraazgi
Apnon se kab tak yahan koi rootha hai
Kya sahi kya nahin yeh sikha de na
Bhoole hum raste pe to aane de
Itna to haq banta hai
Mujhe ik chance to de de zindagi

Let it be, let it be ab jaane de
Ro liya hai zara muskurane de
Itna to haq banta hai
Mujhe ik chance to de de zindagi

Fursat ki eenton se khushiyon ke chheeton se
Duniya hamari banaunga sajaunga
Hai yeh vaada mera
Sapnon se sach ki jo doori hai woh tay karunga
Main kaise magar hai yeh safar
Aadha mera aadha tera
Tu jo meri oar aadha kadam bhi chale
Kadam bhi chale
Main to oonchi neechi sadkon pe chal ke
Saaton samandar ki doori mitaunga
Roothi hai jab tak, main na jaaunga
Tere dar par hi raat bitaunga
Itna to haq banta hai
Mujhe ik chance to de de zindagi

Teri raahon mein hoon khada
Toota, hara, tanha pada
Mana maine ki bhool hai
Lekin tera dil hai bada
Tere dil ke kisi kone mein hi sahi
Mein hi sahi
Mujhe zara si jagah bhi mil jaaye to
Main us mein hi apni jannat saja lunga
Kaanon ko kheench ke do laga ke
Nasamajh ko zara samjha de na
Itna to haq banta hai
Mujhe ik chance to de de zindagi

Let it be, let it be ab jaane de
Ro liya hai zara muskurane de
Itna to haq banta hai
Mujhe ik chance to de de zindagi
Na na na..
Itna to haq banta hai
Mujhe ik chance to de de zindagi
Na na na..
Itna to haq banta hai
Mujhe ik chance to de de zindagi
"
314,Desi Boyz ,2011,Jhak Maar Ke,"Neeraj Shridhar, Harshdeep Kaur",Pritam Chakraborty,Kumaar,"Ab na tu, rakhna tu
Mere dil ka yeh chota mota haq maar ke
Galti se, galti ki
Kabhi peechhe peechhe aaya tere Jhak maar ke

Ab na tu, rakhna tu
Mere dil ka yeh chota mota haq maar ke
Galti se, galti ki
Kabhi peechhe peechhe aaya tere jhak maar ke

Tujh pe na aitbar mujhe
Feeka lage tera pyaar mujhe
Main na banaaun dildar tujhe
Saare sapne the jhoothe ab tak pyaar ke

Dil jaane, Rab jaane
Na khabar pe main tere ab dil haar ke
Galti se, galti ki
Kabhi peechhe peechhe aaya tere jhak maar ke

Jab jab yaara dhoondhun tuhjko
Pa loon main khud ko hi
Tu hi hai mera pata
Duniya bhar ki kasmein kha kar
Karke waade kehta hoon
Aage se na hogi khata

Ho tujhse ab na mohabbat hai
Teri na mujhko zaroorat hai
Meri to aisi soorat hai
Lakh jaayenge yahan ab dil haar ke

Laakhon mein ek main hoon
Koi aayega na aage ab is yaar ke
Galti se, galti ki
Kabhi peechhe peechhe aaya tere jhak maar ke
Jhak maar ke, jhak maar ke

Teri ankhon mein doobi main
Dekhoon apni aakhon ko
Beete yun hi saari umar
Teri baahon mein lipti main
Meri baahon mein tu ho
Duniya ki ho na khabar
Ho na zaroorat baaton ki
Milein lakeerein haaton ki
Saalon si umar ho raaton ki
Aise bhi dekhe dono pal pyaar ke
Kal aise, pal aise
Aani teri meri chaahton ko ikraar ke
Galti se, galti ki
Kabhi peechhe peechhe aaya tere jhak maar ke

Tujh pe na aitbar mujhe
Feeka lage tera pyaar mujhe
Main na banaaun dildar tujhe
Saare sapne the jhoothe ab tak pyaar ke

Dil jaane, ho Rab jaane
Na khabar pe main tere ab dil haar ke
Galti se, galti ki
Kabhi peechhe peechhe aaya tere jhak maar ke
"
315,Desi Boyz ,2011,Tu Mera Hero (Subah Hone Na De),"Mika Singh, Shefali",Pritam Chakraborty,Kumaar,"Humko kehte superman
On karlo handycam from A.M. to P.M.
Bande at your service ma'am
Subah hone na de, saath khone na de
Ek doosre ko hum sone na de

Tainu main love karda, bematlab karda
Baahon mein aa soniye, bas aaj raat ke liye
Saadi taan desi hai ada, saade te ho ja ni fida
Baahon mein aa soniye, bas aaj raat ke liye
Subah hone na de, saath khone na de
Ek doosre ko hum sone na dein
Tu mera hero o o, tu mera hero

Subah hone na de, saath khone na de
Ek doosre ko hum sone na dein
Main tera hero o o, haan hero o o
Haan hero, main tera hero

Haaye mainu tu hot lagdi, lakhaan da note lagdi
Mauka mila hai abhi, hoga na phir yeh kabhi
Saanu tu touch kar le
Maza tu much kar le
Baahon mein aa soniye, bas aaj raat ke liye
Subah hone na de, saath khone na de
Ek doosre ko hum sone na dein
Tu mera hero o o, tu mera hero
Subah hone na de, saath khone na de
Ek doosre ko hum sone na dein
Tu mera hero o o, tu mera hero

Main tera hero, sun lo zara ameeron
Banda mein Rab da, main friend sab da
Dekhe duniya ke kone, bas hum donon hi sone
Kudiyon mein apne charche
Hum pe karti hain kharche
Life ne aisa dhoya, main jaan bacha ke soya
Sooraj se maine bola
Yeh bola bola subah hone na de
Subah hone na de, saath khone na de
Ek doosre ko hum sone na dein
Tu mera hero o o, tu mera hero

Subah hone na de, saath khone na de
Ek doosre ko hum sone na dein
Main tera hero o o, haan hero o o
Haan hero, main tera hero o o
Main tera hero o o
Main tera hero o o
Main tera hero o o
Main tera hero o o

Tu mera hero o o
Tu mera hero o o

Humko kehte superman
On karlo handycam from A.M. to P.M.
Bande at your service ma'am
Tu mera hero o o x 4

Tu mera hero o o!
"
316,Desi Kattey ,2014,Patnewaali,"Rekha Bhardwaj, Kailash Kher",Kailash Kher,,"Dil laayi hai dhadi do dhadi ka
Sara khel hai ghadi do ghadi ka
Ghoor ghoor kyon dekhe chaudhri
Ghoonghat utaar degi chaudhri

[Patnewaali hoon, patnewaali hoon
Patnewaali hoon, aji haan patnewaali hoon] x 2
Patnewaali hoon, aji haan patnewaali hoon

Darpokon ya thoko sar satne waali hoon
Patnewaali hoon, aji haan patnewaali hoon
Patnewaali hoon, aji haan patnewaali hoon

Hai koi nahi hathiyar ke mujhse sab darte hain
[Uee tauba]
Teekhi aankhon ki dhaar door se hi marte hain
[Oye oye tauba]
Hai koi nahi hathiyar ke mujhse sab darte hain
Teekhi aankhon ki dhaar door se hi marte hain
Kya kar diya, kehla diya
Mere thumkon ne saara ka saara ilaka
Mauka diya, behla diya
Meri adaaon ne sabko angna ho ya aaka
Darpokon ya thoko se latakne waali hoon

[Patnewaali hoon, aji haan patnewaali hoon] x 3

Ho pistol country made tabhi asli fire hai
Chhup ke jo kaarya kare darpok nahi kaayar hai
Ho pistol desi make tabhi asli fire hai
Chhup ke jo kaarya kare darpok nahi kaayar hai
Marne lage, darne lage
Badmaash hi mere husn ki sab chaukidaari
Girne lage, girne lage
Bazar ke saare bhaav mere kaarobaari
Khud luchchon, lafangon se lipatne waali hoon

[Patnewaali hoon, aji haan patnewaali hoon] x 3
"
317,Desi Kattey ,2014,Albeliya,Shreya Ghoshal,Kailash Kher,,"Shreya Ghoshal begins Albeliya

Koi parda, koi aulat
Meri hi aankhon mein 
Maare maare hai tana
Maare maare hai tana

Jab jhijhki jab kaanpe hothon ki jodi 
To maine haan maine jaana
Maine maine aa jaana

Main to aazadi mein bhi qaid ho gayi
Mere albeliya tu kheliya
Main to aazadi mein bhi qaid ho gayi
Mere albeliya tu kheliya
Albeliya ve tu kheliya
Badla hai sheesha ya main ho gayi nai
Mere albeliya tu kheliya
Albeliya ve tu kheliya

Main jo dunia ka chehra niharoon
Unko hi paaoon
Par woh jab bhi meri oar dekhein
Chehra chhupaaun haan
Khwaabon mein har mere khuda 
Rang bhar rahe hain
Unka junoon aur meri jaan ek kar rahe hain
Haaye lutne mein kitna maza hai
Kaise bataaun?

Dekhoon khud ko to jaise aur hai koi
Mere albeliya tu kheliya
Dekhoon khud ko to jaise aur hai koi
Mere albeliya tu kheliya
Albeliya ve tu kheliya
Jhooti main jhooti thehri tu sahi, sahi
Mere albeliya tu kheliya
Albeliya ve tu kheliya

Albeliya aa
Albeliya aa
Tu kheliya
Albeliya tu kheliya
Tu kheliya..
"
